en,hv
the former things have passed away . ,ang mga butang sang una nagtaliwan na . 
"but know this , that in the last days critical times hard to deal with will be here . ","apang hibalua ini , nga sa katapusan nga mga adlaw magaabot ang makahalanguyos nga mga tion nga mabudlay atubangon . "
in the days of those kings the god of heaven will set up a kingdom that will never be destroyed . ,"sa panahon sini nga mga hari , ang dios sang langit magatukod sing isa ka ginharian nga indi gid malaglag . "
and this kingdom will not be passed on to any other people . ,ini nga ginharian indi pag - ihatag kay bisan sin - o nga tawo . 
"one day , my brother ' s girlfriend asked me for a ride home in our car . ","isa ka adlaw , nagpangabay ang nobya sang akon manghod nga idul - ong ko sia sa ila balay . "
i obliged and took my young son along . ,"nagpasugot ako kag sakay sa amon salakyan , gin - upod ko man ang akon bata nga lalaki . "
"but when i returned home , sarah was furious . ","apang pagpauli ko , akig katama si sarah . "
"we started arguing , and right in front of my family , she called me a womanizer . ","nagsabtanay kami , kag sa atubangan mismo sang akon pamilya , gintawag niya ako nga babayidor . "
i lost my temper and started saying things that irritated her even more . ,wala na ako makapugong kag nakahambal ako sing mga butang nga labi pa gid nga nagpaakig sa iya . 
"she says our son has a serious health problem , and at the time , we had financial trouble . ","siling ni sarah ang amon bata nga lalaki may malubha nga balatian , kag wala kami sing kuarta agod ipabulong sia . "
"so when fernando left in the car with his brother ' s girlfriend and our son , i was upset for several reasons . ","gani , sang gindul - ong ni fernando ang nobya sang iya manghod kag gin - upod pa niya ang amon bata , naakig ako bangod sa pila ka rason . "
"when he came home , i let him know how i felt . ","pagpauli niya , ginsugiran ko sia sang akon ginabatyag . "
we had a huge argument and called each other names . ,nag - away kami kag naghabuyanay sing masakit nga mga tinaga . 
i felt terrible afterward . ,naglain gid ang akon pamatyag pagkatapos sini . 
"if a couple argue , does this mean that they no longer love each other . ","kon mag - away ang mag - asawa , buot silingon bala sini nga wala na sila nagahigugmaanay . "
"fernando and sarah , quoted above , love each other dearly . ","si fernando kag si sarah , nga ginsambit sa ibabaw , nagahigugmaanay gid . "
"yet , even in the best of marriages , there will occasionally be some conflict . ","apang , bisan ang pinakamalipayon nga mag - asawa , may mga di - paghangpanay kon kaisa . "
"why do conflicts arise , and what can you do to prevent them from ruining your marriage . ","ngaa nagakatabo ini , kag ano ang himuon mo agod indi sini paggub - on ang inyo pag - asawahay . "
"since marriage is an arrangement designed by god , it makes sense to examine what his word , the bible , has to say on this subject . ","sanglit ang pag - asawahay kahimusan sang dios , nagakaigo gid nga usisaon naton ang ginasiling sang iya pulong , ang biblia , tuhoy sini . "
understanding the challenges most married couples want to treat each other in a loving and kind manner . ,luyag sang kalabanan nga mag - asawa nga magatamdanay sila sing mahigugmaon kag mainayuhon . 
"however , the bible realistically notes that all have sinned and fall short of the glory of god . ","apang , ang biblia nagasiling nga ang tanan nakasala kag wala makalab - ot sa himaya sang dios . "
"so when disagreements arise , emotions may be difficult to control . ","amo nga kon may mga di - paghangpanay , ang mga emosyon mahimo nga mabudlay kontrolon . "
"and if an argument starts , some may find it a real struggle to resist bad habits , such as screaming and abusive speech . ","kag kon magbaisay na , ang iban mahimo indi makapugong sa pagsinggit kag sa paghambal sing masakit nga mga tinaga . "
what other factors might cause tension . ,ano ang iban pa nga mga kabangdanan sang tension . 
a husband and a wife often have different communication styles . ,masami nga magkatuhay ang paagi sang mag - asawa sa pagpakigsugilanon . 
"when we were first married , says michiko , i discovered that we had very different attitudes about discussing matters . ","sang bag - o pa lang kami makasal , siling ni michiko , natukiban ko nga magkatuhay gali kami sing paagi sa pagpakigsugilanon . "
i like to talk about not only what happened but also why and how it happened . ,luyag ko hambalan indi lamang kon ano ang natabo kundi kon ngaa kag kon paano man ini natabo . 
my husband seems to be interested in just the end result . ,ang akon naman bana daw interesado lamang sa nangin resulta . 
michiko ' s dilemma is not unique . ,ang problema ni michiko indi pinasahi . 
"in many marriages , one partner may want to discuss a disagreement at length , while the other dislikes confrontation and wants to avoid the subject . ","sa madamo nga pag - asawahay , mahimo luyag sang isa nga hambalan sing tul - id ang kabangdanan sang di - paghangpanay , samtang indi naman luyag sang iya tiayon nga makigbais kag gusto pa niya nga indi na ini paghambalan . "
"sometimes , the more one partner pursues the matter , the more the other tries to avoid it . ","kon kaisa , kon labi nga ginapilit sang isa nga hambalan ini , labi naman nga ginalikawan ini sang iya tiayon . "
have you noticed this pattern emerging in your marriage . ,napiyaran mo bala ini sa inyo pag - asawahay . 
"does one of you always seem to play the part of the discusser , and the other , the part of the avoider . ","ang isa bala sa inyo maluyag nga hambalan ini sing tul - id , samtang ang isa naman indi . "
another factor to consider is that an individual ' s family background may influence his or her perception of how married couples should communicate . ,ang isa pa ka butang nga dapat binagbinagon amo ang impluwensia sang gindak - an nga pamilya sang isa ka indibiduwal . mahimo may epekto ini sa paghangop niya kon paano maghambalanay ang mag - asawa . 
"justin , who has been married for five years , says i come from a quiet family and find it difficult to talk openly about my feelings . ","si justin , nga lima ka tuig na nga kasal , nagsiling naghalin ako sa hipuson nga pamilya kag nabudlayan ako nga ipabutyag ang akon ginabatyag sa iban . "
this frustrates my wife . ,naugot sa sini ang akon asawa . 
"her family is very expressive , and she has no problem letting me know how she feels . ","ang ila pamilya pirme nagahambalanay , gani mahapos para sa iya nga ipabutyag sa akon ang iya ginabatyag . "
researchers have found that the most reliable indicator of how happy a marriage will be is not how often the couple say that they love each other . ,natukiban sang mga manugpanalawsaw nga ang pinakamaayo nga tanda sang malipayon nga pag - asawahay indi ang masunson nga pagpahayag sang mag - asawa sang ila gugma sa isa kag isa . 
sexual compatibility and financial security are not the most important factors either . ,indi man ang pag - intiendihanay nila sa seksuwal nga mga butang kag ang kalig - unan sa pangwarta . 
"instead , the most dependable indicator of marital success is how well husband and wife manage any conflicts that arise . ","sa baylo , ang pinakamaayo nga tanda sang madinalag - on nga pag - asawahay amo kon daw ano kaayo ginalubad sang mag - asawa ang mga di - paghangpanay nga nagautwas . "
"in addition , jesus said that when a couple marry , it is not man but god who yokes them together . ","dugang pa , nagsiling si jesus nga kon magpakasal ang lalaki kag babayi , indi ang tawo kundi ang dios ang nagatingob sa ila . "
"therefore , a good marriage honors god . ","gani , ang madinalag - on nga pag - asawahay nagapadungog sa dios . "
"on the other hand , if a husband fails to show love and consideration for his wife , jehovah god may ignore the man ' s prayers . ","sa pihak nga bahin , kon ang bana wala nagapakita sing gugma kag patugsiling sa iya asawa , mahimo nga indi pagpamatian ni jehova nga dios ang iya mga pangamuyo . "
"if a wife does not respect her husband , she is really disrespecting jehovah , who appointed the husband as head of the family . ","kon ang asawa wala nagatahod sa iya bana , si jehova mismo ang wala niya ginatahod , kay si jehova amo ang nagtangdo sa bana subong ulo sang pamilya . "
"keys to success avoid damaging patterns of speech no matter what your communication style or family background , there are some damaging patterns of speech that must be avoided if you are to apply bible principles and manage conflicts effectively . ","bisan ano pa ang imo paagi sa pagpakigsugilanon ukon bisan ano pa ang imo gindak - an nga pamilya , may makasalaklaw nga mga hambal nga dapat likawan agod matuman mo ang mga prinsipio sang biblia kag malubad sing madinalag - on ang mga di - paghangpanay . "
"ask yourself the following questions do i resist the urge to retaliate . the squeezing of the nose is what brings forth blood , and the squeezing out of anger is what brings forth quarreling , states a wise proverb . ","pamangkuta ang imo kaugalingon sang masunod ang paglubag sang ilong nagapagowa sing dugo , gani ang pagpilit sang kasingkal nagapagowa sing kaawayon , siling sang isa ka maalamon nga hulubaton . "
what does that mean . ,ano ang buot silingon sini . 
consider this example . ,binagbinaga ini nga halimbawa . 
what starts out as a difference over how to balance the family budget may quickly mutate into an attack on each other ' s character . ,"ang paghambalanay nga sa primero , tuhoy lang sa magkatuhay nga opinyon sa pagbadyet , mahimo magdul - ong sa pagmulay sa pagkatawo sang kada isa . "
"true , if your mate squeezes your nose ' by launching into an attack on your character , you may feel the urge to squeeze ' right back . ","matuod , kon mulayon sang imo tiayon ang imo pagkatawo , nga daw subong ginalubag niya ang imo ilong , ' mahimo nga magabalos ka kag mulayon man sia . "
"however , retaliation only leads to anger and an escalation of the disagreement . ","apang , ang pagbalos nagadul - ong lamang sa kaakig kag sa paglala sang di - paghangpanay . "
the bible writer james warned look . ,ang manunulat sang biblia nga si santiago nagpaandam yari karon . 
how little a fire it takes to set so great a woodland on fire . ,daw ano ka gamay nga kalayo ang kinahanglan agod masunog ang daku nga kagulangan . 
"well , the tongue is a fire . ","bueno , ang dila kalayo . "
"when marriage mates fail to control their tongue , small disagreements can quickly flare into raging conflicts . ","kon indi pagpunggan sang mag - asawa ang ila dila , ang magagmay nga mga di - paghangpanay mahimo maglala kag magresulta sa indi na makontrol nga away . "
and marriages that are repeatedly ravaged by such emotional firestorms do not provide an environment in which love can grow . ,"kag kon ang mag - asawa pirme lang nagaaway , ang gugma nila sa isa kag isa magabugnaw . "
"instead of retaliating , can you imitate jesus , who when being reviled did not go reviling in return . ","sa baylo nga magbalos , mailog mo bala si jesus , nga sang gintamay sia , wala sia magbalos . "
the quickest way to take the heat out of a quarrel is to acknowledge your mate ' s viewpoint and to apologize for your part in the conflict . ,ang pinakamadasig nga paagi agod magbugnaw ang baisay amo ang pag - ugyon sa pagtamod sang o tiayon kag pagpangayo sing pasaylo . 
"try this the next time a dispute arises , ask yourself what would it cost me to acknowledge my mate ' s concerns . ","tilawi ini sa masunod nga magbaisay kamo , pamangkuta ang imo kaugalingon may madula bala sa akon kon ugyunan ko ang luyag sang akon tiayon . "
what have i done that contributed to this problem . ,ano ang ginhimo ko nga nagpalala sa sini nga problema . 
what prevents me from apologizing for my mistakes . ,ano ang nagapugong sa akon nga magpangayo sing pasaylo sa ginhimo ko . 
"all of you be like - minded , showing fellow feeling , commands god ' s word . ","' kamo tanan mag - isa sa hunahuna , nga nagapakita sang simpatiya , sugo sang pulong sang dios . "
consider two of the reasons why you might fail to apply this advice . ,binagbinaga ang duha ka rason kon ngaa nabudlayan ka nga sundon ini nga laygay . 
"one is that you may lack insight into the mind , or the feelings , of your mate . ","una , mahimo nga wala mo mahangpan sing bug - os ang ginahunahuna , ukon ginabatyag , sang imo tiayon . "
"for example , if your spouse is more distraught over some issue than you are , you might tend to say , you ' re just overreacting . ","halimbawa , kon mas ginapaligban sang imo tiayon ang pila ka butang sangsa imo , mahimo magasiling ka , kadali sa imo magbatyag . "
your intention may be to help your mate see the problem in perspective . ,mahimo gusto mo lang buligan ang imo tiayon nga tamdon niya sing nagakaigo ang problema . 
"however , few people are comforted by such comments . ","apang , ini nga mga komento indi makapahaganhagan sang iya ginabatyag . "
both wives and husbands need to know that the people whom they love understand and empathize with them . ,dapat mabatyagan sang mga bana kag mga asawa nga ang tawo nga ila ginahigugma nakahangop sa ila ginabatyag . 
having undue pride might also prompt a person to belittle a mate ' s feelings . ,mahimo man tamayon sang isa ang balatyagon sang iya tiayon bangod sa sobra nga bugal . 
a proud individual attempts to elevate himself by constantly putting others down . ,"agod pakataason ang iya kaugalingon , mahimo pirme niya pakanubuon ang iya tiayon . "
he might do so by means of name - calling or negative comparisons . ,mahimo niya sia insultuhon ukon ikomparar sa iban . 
consider the example of the pharisees and scribes of jesus ' day . ,binagbinaga ang halimbawa sang mga fariseo kag mga escriba sang panahon ni jesus . 
"when anyone even a fellow pharisee expressed an opinion that differed from that of these proud individuals , they resorted to name - calling and derogatory remarks . ","kon ang iban , bisan isa pa sia ka fariseo , indi mag - ugyon sa opinyon sining mga bugalon , nagagamit sila sing nagapang - insulto kag matinamayon nga mga tinaga . "
jesus was different . ,si jesus tuhay sa ila . 
he empathized with others when they expressed themselves to him . ,"kon nagapakighambal ang iban kay jesus , may empatiya sia sa ila . "
think about how you react when your mate expresses his or her concerns . ,binagbinaga ang imo reaksion kon nagapabutyag ang imo tiayon sang iya opinyon . 
"do your words , tone of voice , and facial expressions convey empathy . ","ang imo bala hambal , tingog , kag pangguyahon nagapakita sing empatiya . "
or do you tend quickly to dismiss your mate ' s feelings . ,ukon imo bala dayon ginabalewala ang opinyon sang imo tiayon . 
"try this over the coming weeks , notice how you speak to your spouse . ","tilawi ini sa masunod nga mga semana , talupangda ang imo pagpakighambal sa imo tiayon . "
"if you are dismissive or say something demeaning , apologize immediately . ","kon ginabalewala mo sia ukon ginatamay sia , magpangayo dayon sing pasaylo . "
is it for nothing that job has feared god . ,nahadluk bala si job sa dios sa wala sing pulus . 
have not you yourself put up a hedge about him and about his house and about everything that he has all around . ,"wala mo bala sia pagkudali palibut kag sa iya balay kag sa tanan nga iya , sa tagsa ka luyo . "
"with those words , satan called into question the motives of the faithful man job . ","paagi sa sini nga pinamulong , ginduhaduhaan ni satanas ang mga motibo sang matutom nga si job . "
"if marriage mates are not careful , they may fall into a similar pattern . ","kon ang mag - asawa indi maghalong , mahimo man sila mahulog sa sini nga huyog . "
"for example , if your mate does something nice for you , do you wonder what he or she wants or is covering up . ","halimbawa , kon ginregaluhan ka ukon ginlutuan sang imo tiayon sing manamit nga pagkaon , nagahunahuna ka bala nga may pangayuon sia nga balos ukon may ginatago sia sa imo . "
"if your mate makes a mistake , do you view this failing as confirmation that he or she is selfish and uncaring . ","kon makahimo sia sing sala , buot bala silingon nga wala na gid sia sing pasunaid sa imo . "
do you immediately recall similar mistakes from the past and add this one to the list . ,madumduman mo bala dayon ang iya man ginhimo sang nagligad kag ginadugang ini sa indi mo malipatan nga mga ginhimo niya . 
try this make a list of the positive things that your mate has done for you and the good motives that could have prompted these actions . ,tilawi ini listaha ang dalayawon nga mga butang nga ginhimo sang imo tiayon sa imo kag ang maayo nga mga rason kon ngaa ginhimo niya ini . 
the apostle paul wrote love does not keep account of the injury . ,si apostol pablo nagsulat nga ang gugma wala nagaisip sang kahalitan . 
real love is not blind . ,ang matuod nga gugma indi bulag . 
but neither does it keep score . ,apang wala ini nagaisip sang kahalitan . 
paul also stated that love believes all things . ,nagsiling man si pablo nga ang gugma nagapati sa tanan nga butang . 
"not that this kind of love is gullible , but it is open to trust . ","ini nga sahi sang gugma wala nagahimo sa tawo nga mapinatihon sa tanan nga ginasugid sa iya , kundi nagabulig ini sa iya nga mangin masinaligon . "
"it is not cynical , suspicious . ",indi ini maduhaduhaon . 
the type of love that the bible encourages is ready to forgive and is willing to give others the benefit of the doubt . ,ang gugma nga ginapalig - on sang biblia nagabulig sa tawo nga mangin mapinatawaron kag indi maduhaduhaon sa motibo sang iban . 
"when mates display this kind of love for each other , they will enjoy a happy marriage . ","kon ginapakita sang mag - asawa ini nga sahi sang gugma sa isa kag isa , ang ila pag - asawahay mangin malipayon . "
what mistakes did the couple quoted at the beginning of the article make . ,ano ang indi husto nga ginhimo sang mag - asawa nga ginsambit sa pamuno sang artikulo . 
how can i avoid making similar mistakes in my marriage . ,paano ko ini malikawan nga matabo man sa amon pag - asawahay . 
which of the points mentioned in the article do i need to work on most . ,ano nga mga punto sa sini nga artikulo ang dapat ko gid panikasugan . 
prejudice are you infected . ,diskriminasyon nagabatyag ka man bala sini . 
millions of people have applied the principles outlined in the preceding articles and have made great progress in rooting out prejudice from their hearts . ,ginsunod sang minilyon ka tawo ang mga prinsipio nga ginbinagbinag sang nagligad nga mga artikulo kag napamatud - an nila nga nakabulig gid ini sa ila panikasog nga madula ang ila diskriminasyon . 
"realistically , though , we cannot completely remove all prejudice on our own . ","pero ang matuod , indi naton madula sing bug - os ang diskriminasyon kon kita lang . "
so is the situation hopeless . ,buot bala silingon indi na gid ini masarangan dulaon . 
human governments have a poor record of changing people ' s prejudiced attitudes . ,"halin sang una , wala gid sang gobierno sang tawo nga nakadula sang diskriminasyon . "
but does that mean that no government is capable of removing prejudice . ,pero buot silingon bala nga wala gid sang gobierno nga makasarang sa pagdula sini . 
motivate people to want to change the way they think and feel toward others . ,pahulagon ang mga tawo nga bag - uhon ang ila ginahunahuna kag ginabatyag parte sa iban . 
heal the wounds that make it difficult to treat others fairly . ,"dulaon ang epekto sang diskriminasyon sa mga nabiktima sini , nga amo ang rason kon ngaa may diskriminasyon man sila sa iban . "
have leaders of unbreakable integrity who value each citizen equally . ,may masaligan nga mga lider nga patas ang pagtan - aw sa ila mga sakop . 
unify people of all nations . ,magapahiusa sa mga tawo sa tanan nga pungsod . 
the bible assures us that god has created such a government . ,ginapasalig kita sang biblia nga ang dios may ginhimo nga amo sini nga klase sang gobierno . 
it is called the kingdom of god . ,ginatawag ini nga ginharian sang dios . 
consider what that government will provide . ,binagbinaga ang plataporma sini nga gobierno . 
the inhabitants of the land will learn about righteousness . ,ang mga pumuluyo sini magatuon sang pagkamatarong . 
"the result of true righteousness will be peace , and the fruitage of true righteousness will be lasting tranquillity and security . ","ang resulta sang matuod nga pagkamatarong paghidait , kag wala sing katapusan nga kalinong kag kalig - unan . "
what does this mean . ,ano ang buot silingon sini . 
god ' s kingdom will teach people what is right . ,tudluan sang ginharian sang dios ang mga tawo kon ano ang insakto . 
when people learn right from wrong justice from injustice their attitudes toward one another change . ,kon matun - an sang mga tawo kon ano ang insakto kag kon ano ang sala ang kinalain sang hustisya sa inhustisya magabag - o ang ila pagtan - aw sa isa kag isa . 
all will recognize that the right thing to do is to love all kinds of people . ,maintiendihan sang tanan nga ang insakto nga himuon amo nga higugmaon ang tanan nga klase sang tawo . 
"god will wipe out every tear from their eyes , and death will be no more , neither will mourning nor outcry nor pain be anymore . ","pahiran sang dios ang tagsa ka luha sa ila mga mata , kag wala na sing kamatayon , ukon paglalaw ukon paghibi ukon kasakit pa . "
the former things have passed away . ,ang mga butang sang una nagtaliwan na . 
what does this mean . ,ano ang buot silingon sini . 
god ' s kingdom will end all the pain caused by injustice . ,dulaon sang dios ang tanan nga kasakit nga resulta sang inhustisya . 
former victims of mistreatment will no longer have a reason to feel animosity . ,ang mga ginmaltrato sadto wala na sing rason nga magbatyag sing kaakig ukon dumot . 
"he will not judge by what appears to his eyes , nor reprove simply according to what his ears hear . ","indi sia maghukom suno lang sa makita niya , ukon magsabdong suno lang sa mabatian niya . "
"he will judge the lowly with fairness , and with uprightness he will give reproof in behalf of the meek ones of the earth . ","magahukom sia sing matarong sa mga kubos , kag sa pagkamatarong magasabdong sia para sa kaayuhan sang mga mahagop sa duta . "
what does this mean . ,ano ang buot silingon sini . 
"jesus christ , the king of god ' s heavenly kingdom , will rule fairly and impartially over the earth . ","si jesucristo , ang hari sang ginharian sang dios sa langit , magagahom sing patas kag wala sing pinilian sa bilog nga duta . "
"jesus does not favor one nation over another , and he can ensure that his righteous laws are upheld worldwide . ","wala sang ginapaboran nga pungsod si jesus , kag ginapasalig niya nga ang iya matarong nga mga kasuguan tumanon sang mga tawo sa bilog nga kalibutan . "
"god ' s kingdom teaches people to be of the same mind and to have the same love , being completely united , having the one thought in mind . ","tudluan sang ginharian sang dios ang mga tawo nga maghiliugyon kag maghigugmaanay , nga nahiusa sing bug - os , kag isa sing panghunahuna . "
what does this mean . ,ano ang buot silingon sini . 
the unity among the citizens of god ' s kingdom will be more than just a veneer . ,ang paghiusa sang mga sakop sang ginharian sang dios indi pakitakita lang . 
they will be completely united because they will truly love one another . ,mahiusa sila sing bug - os ' bangod matuod gid nila nga higugmaon ang isa kag isa . 
only if he or she first examines the evidence . ,"huo , pero dapat niya anay usisaon ang mga ebidensia . "
we invite you to do so in three ways ask one of jehovah ' s witnesses for proof that god ' s kingdom will soon fulfill the promises described in the bible . ,ginaagda ka namon nga himuon ini sa tatlo ka paagi hambala ang isa sa mga saksi ni jehova nga ipakita sa imo ang mga ebidensia kon ngaa makasalig ka nga dali na lang tumanon sang ginharian sang dios ang mga promisa nga mabasa sa biblia . 
"but he said to them i must also declare the good news of the kingdom of god to other cities , because for this i was sent . ","apang nagsiling sia sa ila dapat ko man ibantala ang maayong balita sang ginharian sang dios sa iban nga mga siudad , kay tungod sini ginpadala ako . "
"in the night i long for you with my whole being , yes , my spirit keeps looking for you for when there are judgments from you for the earth , the inhabitants of the land learn about righteousness . ","ginahandum ko ikaw sa kagab - ihon , ginapangita ko gid ikaw bangod kon ginahukman mo ang duta , ang mga pumuluyo sini makatuon sang pagkamatarong . "
"the result of true righteousness will be peace , and the fruitage of true righteousness will be lasting tranquillity and security . ","ang resulta sang matuod nga pagkamatarong paghidait , kag wala sing katapusan nga kalinong kag kalig - unan . "
"and he will wipe out every tear from their eyes , and death will be no more , neither will mourning nor outcry nor pain be anymore . ","kag pahiran niya ang tagsa ka luha sa ila mga mata , kag wala na sing kamatayon , ukon paglalaw ukon paghibi ukon kasakit pa . "
the former things have passed away . ,ang mga butang sang una nagtaliwan na . 
and he will find delight in the fear of jehovah . ,magakalipay sia sa pagkahadlok kay jehova . 
"he will not judge by what appears to his eyes , nor reprove simply according to what his ears hear . ","indi sia maghukom suno lang sa makita niya , ukon magsabdong suno lang sa mabatian niya . "
he will strike the earth with the rod of his mouth and put the wicked to death with the breath of his lips . ,bunalon niya ang duta paagi sa bilugon sang iya baba kag paagi sa espiritu sang iya mga bibig patyon niya ang mga malauton . 
most of us recognize prejudice in others . ,mabatyagan sang kalabanan sa aton kon may diskriminasyon ang iban . 
but it may be difficult to see it in ourselves . ,pero mahimo indi naton mabatyagan nga kita mismo may diskriminasyon man . 
consider some practical advice that can help us to be more impartial . ,binagbinaga ang pila ka praktikal nga laygay nga makabulig para madula naton ang diskriminasyon . 
 . , . 
prejudice is like a virus . ,ang diskriminasyon daw pareho sa virus . 
"it harms its victims , and people can be unaware that they are infected . ","ginahalitan sini ang iya mga biktima , kag mahimo indi mabatyagan sang mga tawo nga nagamasakit na gali sila . "
"people can be prejudiced not only toward those of another nationality , race , tribe , or language but also toward those of a different religion , gender , or social class . ","ang mga tawo mahimo may diskriminasyon indi lamang sa iban nga lain ang pungsod , rasa , tribo , ukon lenguahe , kundi pati man sa mga tawo nga lain ang relihion , gender , ukon estado sang pangabuhi . "
"some judge people negatively based on their age , education , disabilities , or physical appearance . ","ginahukman naman sang iban ang mga tawo base sa edad , edukasyon , itsura , ukon kasablagan . "
"yet , they still feel that they are not prejudiced . ","pero bisan amo sina ang ila ginahimo , wala sila gihapon nagapati nga may diskriminasyon sila . "
could you be infected with prejudice . ,posible ayhan nga may diskriminasyon ka man . 
most of us can recognize prejudice in others . ,mabatyagan sang kalabanan sa aton kon may diskriminasyon ang iban . 
but it may be difficult to see prejudice in ourselves . ,pero mahimo indi naton mabatyagan nga kita mismo may diskriminasyon man . 
the truth is that all of us are prejudiced to some degree . ,"ang matuod , tanan kita may amo sini nga batasan . "
"when people think about a group negatively and then meet someone from that group , says sociology professor david williams , they will treat that person differently and honestly not know that they did it . ","kon may negatibo nga pagpati ang mga tawo parte sa isa ka grupo , dayon may makilala sila nga miembro sina nga grupo , lain ang ila pagtrato sa sina nga tawo kag wala gid nila narealisar nga amo gali sina ang ila ginahimo , siling sang isa ka propesor sang sociology nga si david williams . "
"for example , in the balkan country where jovica lives , there is a minority group . ","halimbawa , sa isa ka pungsod sa balkans , diin nagaistar si jovica , may isa ka gamay nga tribo sang mga tawo . "
"i thought that no one in that group could be a good person , he admits . ","abi ko sadto , basta halin ka sa sina nga tribo , indi ka maayo nga tawo , siling niya . "
"but i did not think that i was prejudiced . after all , i told myself , this is simply a fact . ","pero wala ko gid narealisar nga may diskriminasyon gali ako , kay ti , abi ko matuod man ang akon ginapatihan parte sa ila . "
' many governments pass laws to fight racism and other forms of prejudice . ,madamo nga gobierno ang naghimo sing mga layi para madula ang pagpasulabi sa rasa kag ang iban pa nga porma sang diskriminasyon . 
"nevertheless , prejudice continues . ",pero nagapadayon gihapon ang diskriminasyon . 
because those laws only address a person ' s actions . ,bangod ini nga mga layi nagapokus lamang sa mga ginahimo sang isa ka tawo . 
they cannot control a person ' s thoughts and feelings . ,pero indi sini makontrol ang iya ginahunahuna kag ginabatyag . 
and prejudice starts in a person ' s mind and heart . ,kag sa hunahuna kag sa tagipusuon nagasugod ang diskriminasyon . 
prejudice is often based on misinformation . ,"sa masami , ang diskriminasyon nagasugod sa sala nga impormasyon . "
consider the following examples some employers have mistakenly believed that women are unqualified for scientific or technical jobs . ,"binagbinaga ang masunod nga mga halimbawa may mga employer nga nagapati nga ang mga babayi indi makasarang sang mabug - at nga mga obra , ukon sang mga obra nga nagakinahanglan sang abilidad ukon kaalam . "
"in medieval europe , jews were falsely accused of poisoning wells and spreading disease . ",", gin - akusahan ang mga judiyo nga naghilo sang mga bubon kag nagpalapta sang mga balatian . "
"during nazi rule , jews were again slandered . ","sang naggahom ang mga nazi , ginpasipalahan liwat ang mga judiyo . "
but this time they were accused of causing the economic crisis in germany . ,gin - akusahan sila nga sila ang rason sang krisis sang ekonomiya sa germany . 
"both cases resulted in the jews becoming victims of extreme prejudice , some of which is still evident today . ","bangod sini , ang mga judiyo nangin biktima sang grabe nga diskriminasyon , nga kon kaisa , nagakatabo gihapon subong . "
many people wrongly conclude that everyone who has a disability is sad or bitter . ,madamo ang nagapati nga ang mga tawo nga may kasablagan pirme nasubuan ukon negatibo . 
people who believe myths such as those may point to examples or alleged evidence that seems to confirm their bias . ,ang mga tawo nga nagapati sa sining sala nga mga impormasyon mahimo magpangita sang mga halimbawa ukon mga ebidensia para suportahan ang ila diskriminasyon . 
and they think that anyone who disagrees with them is ignorant . ,"kag para sa ila , ang bisan sin - o nga indi mag - ugyon sa ila , ignorante . "
a person without knowledge is not good . ,ang tawo nga wala sing ihibalo indi maayo . 
what does it mean . ,ano ang buot silingon sini . 
"without knowing the facts , we make bad decisions . ","kon wala kita kabalo kon ano ang matuod , mangin sala ang aton mga desisyon . "
"if we believe myths rather than facts , we will misjudge people . ","kon patihan naton ang sala nga mga impormasyon , mangin indi husto ang aton pagtan - aw sa mga tawo . "
some claim that the bible promotes prejudice . ,ang iban nagasiling nga ginatudlo sang biblia ang diskriminasyon . 
but what does the bible actually say . ,pero ano gid bala ang ginasiling sang biblia . 
all humans are related god made out of one man every nation of men . ,isa lang ang ginhalinan sang tanan nga tawo ginhimo sang dios halin sa isa ka tawo ang tagsa ka pungsod sang mga tawo . 
"god is impartial god is not partial , but in every nation the man who fears him and does what is right is acceptable to him . ","ang dios wala sing ginapasulabi ang dios wala sing ginapasulabi , apang sa tagsa ka pungsod , nahamuot sia sa tawo nga nagakahadlok sa iya kag nagahimo sing matarong . "
"god focuses on the inner person , not the outward appearance mere man sees what appears to the eyes , but jehovah sees into the heart . ","mas importante sa dios ang nasulod nga pagkatawo sang isa kag indi ang iya itsura ang tawo nagatan - aw sa makita sang mata , apang si jehova nagatan - aw sa tagipusuon . "
"if we know the facts about people , we are less likely to believe common but false assumptions about them . ","kon kabalo kita kon ano ang matuod parte sa mga tawo , indi kita magpati dayon sa sala nga impormasyon nga ginasiling sang iban batok sa ila . "
"and once we learn that we have not been told the truth about a particular group , we may be more likely to question assumptions that we have made about other groups of people . ","kag kon marealisar naton nga sala gali ang aton pagpati parte sa isa ka partikular nga grupo sang mga tawo , posible gid nga sala man ang aton pagpati parte sa iban nga grupo , amo nga tinguhaan na naton nga hibaluon gid anay kon ano ang matuod . "
"jovica , quoted earlier in this series of articles , grew up hearing his countrymen , the news , and television programs give negative reports about a minority group . ","samtang nagadaku si jovica , nga ginsambit sa una nga artikulo , pirme niya mabatian sa mga tawo , sa balita , kag sa mga programa sa tv ang negatibo nga mga report parte sa isa ka tribo . "
"i became filled with prejudice and even hatred for those people , he says . ","grabe gid ang akon diskriminasyon kag dumot sa sini nga mga tawo , siling niya . "
and i thought i was completely justified in feeling that way . ,"kag abi ko , insakto lang nga amo sina ang akon ginabatyag sa ila . "
"however , while in the army , i had no choice but to live and work with fellow soldiers from that minority group . ","pero sang nag - entra ako sa army , napilitan ako nga maupod ang mga soldado nga halin sa sini nga tribo . "
"in time , i learned more about them . ",gani mas nakilala ko kon ano gid sila . 
i even started to learn their language and to listen to their folk songs . ,natun - an ko pa gani ang ila lenguahe kag nagapamati na ako sa ila mga kanta . 
